,id,name,other_information,permalink,rectype
8,77393,MARATHON PARTNERS L.P.,No 13F filings,marathon-partners-l-p,filer
8,77549,"ORBIMED ASIA GP, LP",No 13F filings,orbimed-asia-gp-lp,filer
8,79428,HIGHBRIDGE LONG SHORT EQUITY FUND L P,No 13F filings,highbridge-long-short-equity-fund-l-p,filer
8,80260,"MANNING & NAPIER FUND, INC",Last 13F Filed on 2002-03-31,manning-amp-napier-fund-inc-ny,filer
8,81797,NORTHERN LIGHTS FUND TRUST,No 13F filings,northern-lights-fund-trust,filer
8,83288,"NOMURA PARTNERS FUNDS, INC.",No 13F filings,nomura-partners-funds-inc,filer
8,84109,KLS DIVERSIFIED FUND LTD.,No 13F filings,kls-diversified-fund-ltd,filer
8,84242,PARKER F GARDNER,No 13F filings,parker-f-gardner,filer
8,84832,Allianz SE Ordinary,ALIZF ,alizf,stock
8,85819,AVENUES WORLD HOLDINGS LLC,No 13F filings,avenues-world-holdings-llc,filer
8,87891,"SKYBRIDGE CAPITAL III (OFFSHORE) FUND, L.P.",No 13F filings,skybridge-capital-iii-offshore-fund-l-p,filer
8,88636,Golub Capital BDC Inc,GBDC ,gbdc,stock
8,89677,CROOM MARSHALL A,No 13F filings,croom-marshall-a,filer
8,9018,Firstbank Corp ,FBMI ,fbmi,stock
8,90486,PIPER CHARLES T,No 13F filings,piper-charles-t,filer
8,9136,SAMUELI HENRY,No 13F filings,samueli-henry,filer
8,91663,Chesapeake Midstream Partners L P ,CHKM ,chkm,stock
8,94064,PILLAR CAPITAL ADVISORS LLC/,Last 13F Filed on 2001-03-31,pillar-capital-advisors-llc,filer
8,9550,Monarch Bank (Chesapeake VA),MNRK ,mnrk,stock
8,97082,PASSPORT POTASH INC,No 13F filings,passport-potash-inc,filer
8,97761,AHL Services Inc ,AHLS ,ahls-delisted,stock
8,98268,"EJF FINANCIAL SERVICES FUND, LP",No 13F filings,ejf-financial-services-fund-lp,filer
8,99104,"CANDLEWOOD STRUCTURED CREDIT FUND, LP",No 13F filings,candlewood-structured-credit-fund-lp,filer
8,99510,"FORTRESS BIOTECH, INC.",No 13F filings,coronado-biosciences-inc,filer
9,100170,"BLUE CALYPSO HOLDINGS, INC.",No 13F filings,blue-calypso-holdings-inc,filer
9,101944,POLYGON INVESTMENT MANAGEMENT LTD,No 13F filings,polygon-investment-management-ltd,filer
9,102941,Maxx Petroleum Ltd ,MMX ,mmx-delisted,stock
