,id,name,other_information,permalink,rectype
0,12411,SEERY GERALD B,No 13F filings,seery-gerald-b,filer
0,124549,STARBOARD VALUE LP,Last 13F Filed on 2015-09-30,starboard-value-lp,filer
0,124963,"MUIRFIELD CAPITAL PARTNERS, L.P.",No 13F filings,muirfield-capital-partners-l-p,filer
0,1266,GREYWOLF CAPITAL MANAGEMENT LP,Last 13F Filed on 2015-09-30,greywolf-capital-management-lp,filer
0,126950,HILDENE OPPORTUNITIES FUND LP,No 13F filings,hildene-opportunities-fund-lp,filer
0,127098,DYAL R THOMAS,No 13F filings,dyal-r-thomas,filer
0,12903,Vanguard Wellington,VWELX ,vwelx,stock
0,1295,HALCYON ASSET MANAGEMENT LLC,Last 13F Filed on 2014-09-30,halcyon-asset-management-llc,filer
0,131424,ACADIAN TIMBER,ACAZF.PK ,acazf-2,stock
0,131636,Passport Potash,PPRTF ,pprtf,stock
0,132640,"R&R ORCHARDS, LLC",No 13F filings,r-amp-r-orchards-llc,filer
0,133111,Chilton Kevin P.,No 13F filings,chilton-kevin-p,filer
0,134581,KOLASCO CORP COM 11/10/2014 Non-Confidential,KLSC ,klsc,stock
0,134642,PureFunds ISE Diamond/Gemstone ETF,GEMS ,gems,stock
0,13700,BlackRock Exchange BlackRock,STSEX ,stsex,stock
0,13825,Canyon Bancorp,CYBA ,cyba,stock
0,138755,Gladstone Land Corporation,LAND ,land,stock
0,13880,ELLINGTON KIMBERLY J,No 13F filings,ellington-kimberly-j,filer
0,139011,PETERSON STUART L,No 13F filings,peterson-stuart-l,filer
0,139232,Monarchy Venture,MONK ,monk,stock
0,139774,Omega Commercial,OCFN ,ocfn,stock
0,139876,Zais Grp Hldg A,ZAIS ,htwo-2,stock
0,140718,Voya Financl Inc,VOYA ,voya,stock
0,142160,ARCHVIEW MASTER FUND LTD,No 13F filings,archview-master-fund-ltd,filer
0,142,Talisman Energy Inc ,TLM ,tlm,stock
0,145370,"OUTPOINT CAPITAL, LP",No 13F filings,outpoint-capital-lp,filer
0,147891,CAIRNS ANN,No 13F filings,cairns-ann,filer
0,151,"ANCHORAGE CAPITAL GROUP, L.L.C.",Last 13F Filed on 2015-09-30,anchorage-advisors-llc,filer
0,155656,JHL&S LLC,No 13F filings,jhl-amp-s-llc,filer
0,158113,"QUANTZ QUARK EQUITY MARKET NEUTRAL FUND, LP",No 13F filings,quantz-quark-equity-market-neutral-fund-lp,filer
0,159380,COUNTERPOINT LLC,No 13F filings,counterpoint-llc,filer
0,161866,U S GLOBAL INVESTORS FUNDS EASTERN EUROPEAN FUND,EUROX ,eurox,stock
0,161892,BROOKFIELD RENEWABLE,BRPFF ,brpff-3,stock
0,162982,BenefitFocus Inc,BNFT ,bnft-2,stock
0,16542,HAWTHORNE MARIA R,No 13F filings,hawthorne-maria-r,filer
0,165781,Bitcoin Shop Inc,BTCS ,tucnd,stock
0,166580,"STRUCTURED PORTFOLIO MANAGEMENT, L.L.C.",No 13F filings,structured-portfolio-management-l-l-c,filer
0,16677,Henderson Robert S,No 13F filings,henderson-robert-s,filer
0,167538,ALCENTRA CAPITAL,ABDC ,abdc,stock
0,168159,Panorama Petrole,AZUEF ,azued,stock
0,170783,CHINA PREMIUM,CPLYE ,cply,stock
0,1708,"LITESPEED MANAGEMENT, L.L.C.",Last 13F Filed on 2015-09-30,litespeed-management-llc,filer
0,171597,"VARADERO PARTNERS, L.P.",No 13F filings,varadero-partners-l-p,filer
0,171725,Merrill Lynch Co Inc MITTS S P 500 Index due 9/04/2009,MKP ,mkp,stock
0,171898,"MONEDA ABSOLUTE RETURN FUND, LTD.",No 13F filings,moneda-absolute-return-fund-ltd,filer
0,172934,HYUNDAI MOBIS,HYPLF ,hyplf,stock
0,176397,ZWEIG-DIMENNA ASSOCIATES LLC,Last 13F Filed on 2015-09-30,zweig-dimenna-associates-llc,filer
0,176467,BAYVIEW FINANCIAL PROPERTY TRUST,No 13F filings,bayview-financial-property-trust,filer
0,179146,Showa Denko K K ,4004-Tokyo ,4004-tokyo,stock
0,183566,ROTELLA ROBERT P,Last 13F Filed on 2012-06-30,rotella-robert-p,filer
0,189201,MERION INVESTMENT MANAGEMENT LP,Last 13F Filed on 2015-09-30,merion-investment-management-lp,filer
0,191041,Newfleet Multi,NFLT ,nflt,stock
0,191069,Guggenheim S P,EWRE ,ewre,stock
0,191688,VERTU MOTORS,V2N.BE ,v2nbe,stock
0,192148,CQS DIVERS GBP,CQS.L ,cqsl,stock
0,192220,FIRSTGROUP,FGR.SG ,fgrsg,stock
0,192805,GROUP PLC ORD 2P,PARK ,park,stock
0,193340,GROUP PLC ORD 150P,BEACH ,beach,stock
0,193694,Q-FREE ASA SHS ,QFREF ,qfref,stock
0,196169,PROVIDENCE HALL,No 13F filings,providence-hall,filer
0,200161,"KERRISDALE ADVISERS, LLC",Last 13F Filed on 2015-09-30,kerrisdale-advisers-llc,filer
0,2002,NEWBROOK CAPITAL ADVISORS LP,Last 13F Filed on 2015-09-30,newbrook-capital-advisors-lp,filer
0,201839,WYETREE YIELD DISTRIBUTION FUND LP,No 13F filings,wyetree-yield-distribuion-fund-lp,filer
0,2021,NOMURA HOLDINGS INC,Last 13F Filed on 2015-09-30,nomura-holdings-inc,filer
0,203277,DUNNE PETER C,No 13F filings,dunne-peter-c,filer
0,205848,Vardeman Ryan L.,No 13F filings,vardeman-ryan-l,filer
0,206134,"COHERENCE CAPITAL SPECTRUM FUND ONSHORE, LP",No 13F filings,coherence-capital-spectrum-fund-onshore-lp,filer
0,20897,QUINN JEFFRY N,No 13F filings,quinn-jeffry-n,filer
0,210073,"SPRINGSHOT, INC.",No 13F filings,springshot-inc,filer
0,210684,"LUTETIUM FINANCIAL PARTNERS, LP",No 13F filings,lutetium-financial-partners-lp,filer
0,2111,ORBIMED ADVISORS LLC,Last 13F Filed on 2015-09-30,orbimed-advisors-llc,filer
0,212487,"SERENITAS CREDIT GAMMA FUND, LLC",No 13F filings,serenitas-credit-gamma-fund-llc,filer
0,2208,PENTWATER CAPITAL MANAGEMENT LP,Last 13F Filed on 2015-09-30,pentwater-capital-management-lp,filer
0,2224,PERRY CORP,Last 13F Filed on 2015-09-30,perry-corp,filer
0,222947,"ROARING FORK FUND, LP",No 13F filings,roaring-fork-fund-lp,filer
0,224804,CLAROS DIAGNOSTICS INC,No 13F filings,claros-diagnostics-inc,filer
0,225234,ROUNDBOX INC,No 13F filings,roundbox-inc,filer
0,225750,MARATHON FUND L P,No 13F filings,marathon-fund-l-p,filer
0,232,Goldman Sachs Group,GS ,gs,stock
0,235869,"CANDLEWOOD, LLC",No 13F filings,candlewood-llc,filer
0,2365,RAMIUS LLC,Last 13F Filed on 2011-06-30,ramius-capital-group-llc,filer
0,237379,CAPULA GLOBAL RELATIVE VALUE TRUST,No 13F filings,capula-global-relative-value-trust,filer
0,237953,"FULCRUM BOATS, LLC",No 13F filings,fulcrum-boats-llc,filer
0,238372,MAGNOLIALAND ENTERTAINMENT,No 13F filings,magnolialand-entertainment,filer
0,238919,TUFTON TRANSPORT INVESTMENT FUND,No 13F filings,tufton-transport-investment-fund,filer
0,241497,UNICOMP INC,No 13F filings,unicomp-inc,filer
0,241837,"ECOR1 CAPITAL, LLC",Last 13F Filed on 2015-09-30,ecor1-capital-llc,filer
0,243784,WATERFALLS CORP,No 13F filings,waterfalls-corp,filer
0,244595,BREVETTI LAURA A,No 13F filings,brevetti-laura-a,filer
0,245483,"BOWERY OPPORTUNITY FUND, LTD.",No 13F filings,bowery-opportunity-fund-ltd,filer
0,2458,BOSTON PARTNERS,Last 13F Filed on 2015-09-30,robeco-investment-management-inc,filer
0,253111,LUMINANCE GLOBAL FUND,No 13F filings,luminance-global-fund,filer
0,256286,"RESERVOIR OPERATIONS, L.P.",Last 13F Filed on 2015-09-30,reservoir-operations-lp,filer
0,256294,COMAC CAPITAL LLP,Last 13F Filed on 2014-09-30,comac-capital-llp,filer
0,256315,"GRATIA CAPITAL, LLC",Last 13F Filed on 2015-09-30,gratia-capital-llc,filer
0,256343,"TYRIAN INVESTMENTS, L.P.",Last 13F Filed on 2015-09-30,tyrian-investments-lp,filer
0,256355,"TEEWINOT CAPITAL ADVISERS, L.L.C.",Last 13F Filed on 2015-09-30,teewinot-capital-advisers-llc,filer
0,2584,SCOPIA CAPITAL MANAGEMENT LP,Last 13F Filed on 2015-09-30,scopia-management-inc,filer
0,260216,"AXONICS MODULATION TECHNOLOGIES, INC.",No 13F filings,axonics-modulation-technologies-inc,filer
0,261956,"CONDORCET GLOBAL OPPORTUNITY FUND, LLC",Last 13F Filed on 2014-12-31,condorcet-global-opportunity-fund-llc,filer
0,268,BALYASNY ASSET MANAGEMENT LLC,Last 13F Filed on 2015-09-30,balyasny-asset-management-llc,filer
0,26909,Equity Commonwealth,No 13F filings,hrpt-properties-trust,filer
0,2691,Universal Corp ,UVV ,uvv,stock
0,2712,Radian Group Inc ,RDN ,rdn,stock
0,2716,SOUTHPAW ASSET MANAGEMENT LP,Last 13F Filed on 2015-09-30,southpaw-asset-management-lp,filer
0,272406,ECLECTICA FUND,No 13F filings,eclectica-fund,filer
0,275918,NORTHLIGHT EUROPEAN FUNDAMENTAL CREDIT FUND,No 13F filings,northlight-european-fundamental-credit-fund,filer
0,276939,Orbis Corp,No 13F filings,orbis-corp,filer
0,277403,PINYON PARTNERS LP,No 13F filings,pinyon-partners-lp,filer
0,279527,MIDOCEAN ASSOCIATES SPC,No 13F filings,midocean-associates-spc,filer
0,283230,PIPER MICHAEL,No 13F filings,piper-michael,filer
0,2846,TACONIC CAPITAL ADVISORS LP,Last 13F Filed on 2015-09-30,taconic-capital-advisors-lp,filer
0,288865,"PYRRHO CAPITAL MANAGEMENT, LP",Last 13F Filed on 2015-09-30,pyrrho-capital-management-lp,filer
0,288956,PHASECAPITAL LP,Last 13F Filed on 2015-09-30,phasecapital-lp,filer
0,28896,Theratechnolgies Inc Class B,THERF ,thtcf,stock
0,289052,DARSANA CAPITAL PARTNERS LP,Last 13F Filed on 2015-09-30,darsana-capital-partners-lp,filer
0,289109,PROSIRIS CAPITAL MANAGEMENT LP,Last 13F Filed on 2015-09-30,prosiris-capital-management-lp,filer
0,295971,QUADRATIC FUND LLC,No 13F filings,quadratic-fund-llc,filer
0,2962,TREMBLANT CAPITAL GROUP,Last 13F Filed on 2015-09-30,tremblant-capital-group,filer
0,300003,FORELINX,No 13F filings,forelinx,filer
0,30123,PLAISANCE MELISSA C,No 13F filings,plaisance-melissa-c,filer
0,303225,STRATEGICCAPITAL L.P.,No 13F filings,strategiccapital-lp,filer
0,303309,"WorldQuant, LLC",No 13F filings,worldquant,filer
0,30412,Fidelity Independence,FDFFX ,fdffx,stock
0,30470,Marine Harvest A,MNHVF ,mnhvf,stock
0,3076,"VISIUM ASSET MANAGEMENT, LP",Last 13F Filed on 2015-09-30,visium-asset-management-llc,filer
0,3106,"WATERSHED ASSET MANAGEMENT, L.L.C.",Last 13F Filed on 2015-09-30,watershed-asset-management-l-l-c,filer
0,310819,"MUDRICK CAPITAL MANAGEMENT, L.P.",No 13F filings,mudrick-capital-management-lp,filer
0,3130,WEISS ANDREW M,Last 13F Filed on 2007-09-30,weiss-andrew-m,filer
0,313923,"FORMULA, INC.",No 13F filings,formula-inc,filer
0,3179,WHITEBOX ADVISORS LLC,Last 13F Filed on 2015-09-30,whitebox-advisors-llc,filer
0,32425,DODSON J MARSHALL,No 13F filings,dodson-j-marshall,filer
0,35491,SANDLER DAVID,No 13F filings,sandler-david,filer
0,38276,CRESCENDO PARTNERS II LP,Last 13F Filed on 2012-09-30,crescendo-partners-ii-lp,filer
0,38848,KAYNE RICHARD A,No 13F filings,kayne-richard-a,filer
0,3981,Phoenix Technologies,PTEC ,ptec,stock
0,41420,MOAB CAPITAL PARTNERS LLC,Last 13F Filed on 2015-09-30,moab-capital-partners-llc,filer
0,43275,CLARIOND EUGENIO,No 13F filings,clariond-eugenio,filer
0,45386,EVANS LINDEN R,No 13F filings,evans-linden-r,filer
0,45979,TigerLogic Corp ,TIGR ,tigr,stock
0,46071,Lime Energy Co,LIME ,lime,stock
0,46458,GLAZER MICHAEL L,No 13F filings,glazer-michael-l,filer
0,46888,Westport Innovations,WPRT ,wprt,stock
0,47247,PROSHARES TRUST,No 13F filings,proshares-trust,filer
0,47309,JASPER THOMAS F,No 13F filings,jasper-thomas-f,filer
0,49141,Pineci Roy,No 13F filings,pineci-roy,filer
0,492,ParkerVision Inc ,PRKR ,prkr,stock
0,49921,Mmx Mineraca Gdr,MMXMY ,mmxmy,stock
0,505,"CALYPSO CAPITAL MANAGEMENT, LP",Last 13F Filed on 2014-12-31,calypso-capital-management-lp,filer
0,5089,GATX Corp ,GMT ,gmt,stock
0,5096,Hain Celestial Group,HAIN ,hain,stock
0,51266,Janus Triton T,JATTX ,jattx,stock
0,51914,Napier A Lanham,No 13F filings,napier-a-lanham,filer
0,5209,Aspan Insurance Holdings Ltd ,AHL ,ahl,stock
0,5211,Cablevision Systems Corp Class A,CVC ,cvc,stock
0,558,CARLSON CAPITAL L P,Last 13F Filed on 2015-09-30,carlson-capital-l-p,filer
0,5672,Asiainfo Linkage,ASIA ,asia,stock
0,58420,TUDOR DAVID J,No 13F filings,tudor-david-j,filer
0,5943,Cumulus Media Inc Class A,CMLS ,cmls,stock
0,6214,PCM Inc,PCMI ,mall,stock
0,62423,Robertson Monroe W,No 13F filings,robertson-monroe-w,filer
0,64876,TILDEN BRADLEY D,No 13F filings,tilden-bradley-d,filer
0,65231,NEUBERGER CHRISTOPHER B,No 13F filings,neuberger-christopher-b,filer
0,6554,Rite Aid Corp ,RAD ,rad,stock
0,656,GreatBatch Inc ,GB ,gb,stock
0,67358,SANBORN SCOTT,No 13F filings,sanborn-scott,filer
0,68483,BURKHARDT GLYNN A,No 13F filings,burkhardt-glynn-a,filer
0,69066,Duet Group,DUETF ,duetf,stock
0,69512,BERGENFIELD GLENN,No 13F filings,bergenfield-glenn,filer
0,6979,SANDELL SCOTT D,No 13F filings,sandell-scott-d,filer
0,70348,"ALPHAONE INVESTMENT SERVICES, LLC",Last 13F Filed on 2015-09-30,alphaone-investment-services-llc,filer
0,70457,"ARROWPOINT ASSET MANAGEMENT, LLC",Last 13F Filed on 2015-09-30,arrowpoint-asset-management-llc,filer
0,7045,Chesapeake Corp ,CSKEQ ,csk,stock
0,70845,LUFKIN KENT C,No 13F filings,lufkin-kent-c,filer
0,7225,Remark Media Inc,MARK ,hswi,stock
0,72742,GOLUB DAVID,No 13F filings,golub-david,filer
0,72948,Western Capital,WCRS ,wcrs,stock
0,730,Twin Disc Inc ,TWIN ,twin,stock
0,73363,LABORDE ALDEN J,No 13F filings,laborde-alden-j,filer
0,74627,"STONERISE CAPITAL MANAGEMENT, LLC",Last 13F Filed on 2015-09-30,stonerise-capital-management-llc,filer
0,7678,Virtusa Corp,VRTU ,vrtu,stock
0,77426,INVESTCORP S.A.,No 13F filings,investcorp-s-a,filer
0,788,Hutchinson Technology,HTCH ,htch,stock
0,7894,CIFC Corp,CIFC ,dfr,stock
0,8009,ISALY SAMUEL D,No 13F filings,isaly-samuel-d,filer
0,80293,PIMCO FUNDS,No 13F filings,pimco-funds,filer
0,80335,ALLIANZ FUNDS,No 13F filings,allianz-funds,filer
0,81266,Jiangbo Pharma,JGBO ,jgbo,stock
0,81603,Starwood Property Trust Inc,STWD ,stwd,stock
0,82076,NORTHERN FUNDS,No 13F filings,northern-funds,filer
0,8238,Riversource Lasalle International Real Estate Fund Inc ,SLS ,sls,stock
0,82462,COREY JOHN C,No 13F filings,corey-john-c,filer
0,82590,PAULSON JOHN,No 13F filings,paulson-john,filer
0,83271,MASTER SILICON CARBIDE INDUSTRIES INC ,MAST ,mast,stock
0,83458,HIGHBRIDGE CAPITAL L P,No 13F filings,highbridge-capital-l-p,filer
0,84459,VANGUARD SPECIALIZED FUNDS,No 13F filings,vanguard-specialized-funds,filer
0,846,"DIALECTIC CAPITAL MANAGEMENT, LP",Last 13F Filed on 2015-09-30,dialectic-capital-management-llc,filer
0,84782,York Research Corp ,YORK ,york,stock
0,87424,Ram Power Corp ,RAMPF ,rampf,stock
0,88246,VECTORMAX CORP,No 13F filings,vectormax-corp,filer
0,88335,Wolverine Tech,WOLV ,wolv,stock
0,938,EJF CAPITAL LLC,Last 13F Filed on 2015-09-30,ejf-capital-llc,filer
0,9407,Triangle Petroleum,TPLM ,tplm,stock
0,9411,Ninetowns Internet Technology Group Co Ltd ADS,NINE ,nine,stock
0,94510,GOODNOW EDWARD B,Last 13F Filed on 2005-12-31,goodnow-edward-b,filer
0,9469,Merchants Bancorp ,MBNC ,mbnc,stock
0,948,EMERALD ADVISERS INC,Last 13F Filed on 2015-09-30,emerald-advisers-inc-pa,filer
0,9568,PILLARD LARRY G,No 13F filings,pillard-larry-g,filer
0,9675,Lifeway Foods Inc,LWAY ,lway,stock
0,97247,Verticalnet Inc,VERT ,vert-delisted,stock
0,98696,"CBRE, INC.",No 13F filings,cb-richard-ellis-inc,filer
1,102348,Landair Corp ,LAND ,land-delisted,stock
1,102719,CRESCENDO PARTNERS III LP,No 13F filings,crescendo-partners-iii-lp,filer
1,103118,MONROE MARIAN B,No 13F filings,monroe-marian-b,filer
1,103156,ALLIANZ SE,No 13F filings,allianz-se,filer
1,103723,Artemis International Solutions Corp ,OPUS ,opus-delisted,stock
1,10465,CHESAPEAKE CORP,No 13F filings,chesapeake-corp-va,filer
1,104692,SOLUS GP LLC,No 13F filings,solus-gp-llc,filer
1,106105,Unicomp Inc ,UCMPQ ,ucmpq-delisted,stock
1,106743,BEACH GENTRY T.,No 13F filings,beach-gentry-t,filer
1,10699,NFIEMF,NFIJF ,nfijf,stock
1,107173,Glenayre Technologies Inc,GEMS ,gems-renamed,stock
1,107212,JHL CAPITAL GROUP LLC,Last 13F Filed on 2015-09-30,jhl-capital-group-llc,filer
1,107543,GLENHILL CAPITAL MANAGEMENT LLC,No 13F filings,glenhill-capital-management-llc,filer
1,108329,TREMBLANT PARTNERS LTD.,No 13F filings,tremblant-partners-ltd,filer
1,109385,Euro909 COM,EUROY ,euroy-renamed,stock
1,10,Gametech International Inc,GMTCQ ,gmtc,stock
1,110172,Pinelawn Cemetery,PLWN ,plwn,stock
1,111729,RESERVOIR CAP CO,RSERF ,rserf,stock
1,111943,RAM Energy Resources Inc ,RAME ,rame-2,stock
1,112193,Vertical Health,ONMDQ ,onmdd,stock
1,114192,"CEDARVIEW OPPORTUNITIES I, LP",No 13F filings,cedarview-opportunities-i-lp,filer
1,114782,ALPHAONE SATORI FUND I L.P.,No 13F filings,alphaone-satori-fund-i-l-p,filer
1,114856,"ALTUM CREDIT FUND, L.P.",No 13F filings,capstone-altum-credit-fund-l-p,filer
1,115071,Blue Calypso Inc,BCYP ,bcyp,stock
1,115317,WATERFALL EDEN FUND LP,No 13F filings,waterfall-eden-fund-lp,filer
1,115406,"BREVET DIRECT LENDING - SHORT DURATION FUND, L.P.",No 13F filings,brevet-capital-special-opportunities-fund-iii-l-p,filer
1,115533,"WATERSHED CAPITAL PARTNERS, L.P.",No 13F filings,watershed-capital-partners-l-p,filer
1,115638,POLYGON GLOBAL PARTNERS LLP,No 13F filings,polygon-equities-partners-llp,filer
1,115760,PowerShares DB 3x Inverse Japanese Govt Bond Futures ETN due 11/30/2021,JGBD ,jgbd,stock
1,116008,"LITESPEED OFFSHORE FUND, LTD.",No 13F filings,litespeed-offshore-fund-ltd,filer
1,116711,TACONIC OPPORTUNITY FUND L P,No 13F filings,taconic-opportunity-fund-l-p,filer
1,116744,GLENVIEW CAPITAL PARTNERS L P,No 13F filings,glenview-capital-partners-l-p,filer
1,117811,"EJF INCOME FUND, LP",No 13F filings,ejf-income-fund-lp,filer
1,117862,NEWBROOK CAPITAL PARTNERS LP,No 13F filings,newbrook-capital-partners-lp,filer
1,117871,QFR VICTORIA FUND LTD,No 13F filings,qfr-victoria-fund-ltd,filer
1,119228,"TWIN SECURITIES, L. P.",No 13F filings,twin-securities-l-p,filer
1,120106,PIMCO Total Return ETF,BOND ,trxt,stock
1,12014,COREY BOB L,No 13F filings,corey-bob-l,filer
1,12235,STARLIMS Technologies Ltd,LIMS ,lims,stock
1,1226,"GOODNOW INVESTMENT GROUP, LLC",Last 13F Filed on 2015-09-30,goodnow-investment-group-llc,filer
1,1229,GOTHAM ASSET MANAGEMENT LP,Last 13F Filed on 2009-09-30,gotham-asset-management-lp,filer
1,12341,PARKWAY,PKWHF ,pkwhf,stock
1,123482,OLDWEBSITES COM INC COMMON,OLDWE ,oldwe-2,stock
1,12430,FIRST MERCHANTS,FMACQ ,fmacq,stock
1,124389,KAYNE ALEXANDER M.,No 13F filings,kayne-alexander-m,filer
1,124464,HAWTHORNE BRUCE,No 13F filings,hawthorne-bruce,filer
1,128523,PLAISANCE FUND LP,No 13F filings,plaisance-fund-lp,filer
1,130913,"KERRISDALE PARTNERS, L.P.",No 13F filings,kerrisdale-partners-l-p,filer
1,13131,Converted Organics Inc Warrants,COINZ ,coinz,stock
1,131359,BROOKFIELD RENEWABLE,BRPFF.PK ,brpff-2,stock
1,131855,Emerald Oil Inc,EOX ,eox,stock
1,133020,"PARALLAX VOLATILITY ADVISERS, L.P.",Last 13F Filed on 2015-09-30,parallax-volatility-advisers-llc,filer
1,133334,Commonwealth REIT,CWHO ,cwho,stock
1,133589,"SKYBRIDGE G II FUND, LLC",No 13F filings,skybridge-diversified-hedge-fund-portfolio-llc,filer
1,134364,ARROWPOINT ACQUISITION VEHICLE SPC,No 13F filings,arrowpoint-acquisition-vehicle-spc,filer
1,134690,PROVIDENCE RESOURCES,PVDRF ,pvdrf,stock
1,134749,DUET Group,DUETF ,duetf-3,stock
1,134806,PETERSMEYER GARY S,No 13F filings,petersmeyer-gary-s,filer
1,136392,HYUNDAI SECURITIES (AMERICA) INC.,No 13F filings,hyundai-securities-america-inc,filer
1,136421,SCOPIA WINDMILL FUND LP,No 13F filings,scopia-windmill-fund-lp,filer
1,1374,HIGHBRIDGE CAPITAL MANAGEMENT LLC,Last 13F Filed on 2015-09-30,highbridge-capital-management-llc,filer
1,138492,ORCHARDBROOK LTD,No 13F filings,orchardbrook-ltd,filer
1,138933,Theratechnologies Inc ,THER ,ther,stock
1,139875,BAHAMAS CONCIERGE INC COM STOCK,BHRG ,bhrg,stock
1,140479,NORTHLIGHT EUROPEAN FUNDAMENTAL CREDIT FUND L.P.,No 13F filings,northlight-european-fundamental-credit-fund-l-p,filer
1,141191,MIDOCEAN PPL HOLDINGS CORP.,No 13F filings,midocean-ppl-holdings-corp,filer
1,142162,ARCHVIEW FUND L.P.,No 13F filings,archview-fund-l-p,filer
1,142624,PIPER TERRY A,No 13F filings,piper-terry-a,filer
1,144938,"BOWERY OPPORTUNITY FUND, L.P.",No 13F filings,longacre-opportunity-fund-l-p,filer
1,145646,DYAL CAPITAL PARTNERS (A) LP,No 13F filings,dyal-capital-partners-a-lp,filer
1,146058,STARBOARD VALUE GP LLC,No 13F filings,starboard-value-gp-llc,filer
1,1461,CBRE CLARION SECURITIES LLC,Last 13F Filed on 2015-09-30,ing-clarion-real-estate-securities-n-l-p,filer
1,146966,HENDERSON WILLIAM H,No 13F filings,henderson-william-h,filer
1,148651,N.A. INVESTCORP LLC,No 13F filings,n-a-investcorp-llc,filer
1,15036,UNIVERSAL CORP,No 13F filings,universal-corp-va,filer
1,151609,"CANDLEWOOD INVESTMENT GROUP, LP",Last 13F Filed on 2015-09-30,candlewood-investment-group-lp,filer
1,154647,"PANORAMA PARTNERS ONSHORE, LP",No 13F filings,panorama-partners-onshore-lp,filer
1,154951,CLAROS REAL ESTATE SECURITIES FUND LP,No 13F filings,claros-real-estate-securities-fund-lp,filer
1,160499,BURKHARDT GLYNN A.,No 13F filings,burkhardt-glynn-a-2,filer
1,160709,"STA SPECIALIZED FUND, L.P.",No 13F filings,sta-specialized-fund-l-p,filer
1,16096,GREYWOLF ADVISORS LLC,No 13F filings,greywolf-advisors-llc,filer
1,161342,COMAC GLOBAL MACRO FUND L P,No 13F filings,comac-global-macro-fund-l-p,filer
1,161933,ROUNDBALL LLC,No 13F filings,roundball-llc,filer
1,165583,"HILDENE OPPORTUNITIES FUND II, L.P.",No 13F filings,hildene-opportunities-fund-ii-l-p,filer
1,165927,PUTNAM EMERGING MARKETS EQUITY FD Y,PEMYX ,pemyx,stock
1,166289,BAYVIEW ACQUISITIONS LLC,No 13F filings,bayview-acquisitions-llc,filer
1,166435,MMX MINERA E MET,MMXXF ,mmxxf,stock
1,166438,"PHASERX, INC.",No 13F filings,phaserx-inc,filer
1,171614,Market America Inc ,MARK ,mark,stock
1,172007,MONEDA LATIN AMERICAN CORPORATE DEBT,No 13F filings,moneda-latin-american-corporate-debt,filer
1,172486,SUTHERLAND ALDEN J,No 13F filings,sutherland-alden-j,filer
1,172591,FULCRUM CAPITAL MARKETS LLC,No 13F filings,fulcrum-capital-markets-llc,filer
1,172981,MARKET VECTOR,CNXT ,cnxt-2,stock
1,173368,Monarchy Resourc,MONK ,monk-4,stock
1,175907,"PILLARS4LIFE, INC.",No 13F filings,pillars4life-inc,filer
1,177038,"TRENDABL, INC.",No 13F filings,trendabl-inc,filer
1,17713,JASPER THOMAS W,No 13F filings,jasper-thomas-w,filer
1,177635,"WHITEBOX INSTITUTIONAL PARTNERS, LP",No 13F filings,whitebox-institutional-partners-lp,filer
1,177747,Strategic Globl,STBV ,stbv-2,stock
1,180687,DUNN JUDITH C,No 13F filings,dunn-judith-c,filer
1,183536,"PYRRHO GLOBAL EVENT DRIVEN FUND, LP",No 13F filings,pyrrho-global-event-driven-fund-lp,filer
1,187984,PROSIRIS GLOBAL OPPORTUNITIES FUND LTD,No 13F filings,investcorp-prosiris-opportunities-fund-ltd,filer
1,190238,CAIS GOLDENTREE PARTNERS LLC,No 13F filings,cais-goldentree-partners-llc,filer
1,190809,CO-OP CHEMICAL CO LTD ,4003-Tokyo ,4003-tokyo,stock
1,191910,SAMUELS STEVEN,No 13F filings,samuels-steven,filer
1,193745,"MAGNOLIA CAPITAL PARTNERS, LLC",No 13F filings,magnolia-capital-partners-llc,filer
1,193837,"IOWA PREMIUM BEEF, LLC",No 13F filings,iowa-premium-beef-llc,filer
1,194127,"Harveston, LLC",No 13F filings,harveston-llc,filer
1,194131,Independence L.L.C.,No 13F filings,independence-llc,filer
1,196313,CANYON BANCORPORATION,No 13F filings,canyon-bancorporation,filer
1,196329,"GRATIA CAPITAL PARTNERS, L.P.",No 13F filings,gratia-capital-partners-lp,filer
1,19780,Rotella Perry,No 13F filings,rotella-perry,filer
1,198444,"GULLIVER STRUCTURED CREDIT, LP",No 13F filings,gulliver-structured-credit-lp,filer
1,198664,"ECOR1 CAPITAL FUND, L.P.",No 13F filings,ecor1-capital-fund-lp,filer
1,199441,ECLECTICA ASSET MANAGEMENT LLP,Last 13F Filed on 2015-09-30,eclectica-asset-management-llp,filer
1,19946,NAPIER JAMES V,No 13F filings,napier-james-v,filer
1,200203,"MKP CAPITAL MANAGEMENT, L.L.C.",Last 13F Filed on 2015-09-30,mkp-capital-management-llc,filer
1,20178,PAULSON THOMAS J,No 13F filings,paulson-thomas-j,filer
1,202145,FIRSTGROUP,No 13F filings,firstgroup,filer
1,202703,"OUTPOINT CAPITAL PARTNERS, LP",No 13F filings,outpoint-capital-partners-lp,filer
1,203225,MERION CAPITAL LP,No 13F filings,merion-capital-lp,filer
1,205443,SANDLER IAN J.,No 13F filings,sandler-ian-j,filer
1,206133,"COHERENCE CAPITAL SPECTRUM FUND OFFSHORE, LTD.",No 13F filings,coherence-capital-spectrum-fund-offshore-ltd,filer
1,206953,ZAIST MATTHEW R,No 13F filings,zaist-matthew-r,filer
